ID,name,Applied,gender,age,background in IT,education,accepted,attended,number of Hackathons,employment,satisfaction,career interests,country,new skill
109,Philip Wood,Yes,M,27,Yes,PhD,No,Yes,1,Junior,neutral,python,Pakistan,Data Scientist
46,Michelle Escobar,Yes,M,38,Yes,Masters degree,Yes,Yes,0,Manager,dissatisfied,javascript,Bulgaria,Data Scientist
147,Taylor Lowe,Yes,Non-binary,59,Yes,Undergraduate,Yes,Yes,4,Senior Associate,dissatisfied,.net,Mauritania,Data Scientist
82,Jason Collins,Yes,Non-binary,26,No,Masters degree,Yes,Yes,0,Senior Associate,satisfied,.net,Korea,Data Scientist
139,Shawn Friedman,Yes,F,26,Yes,Undergraduate,Yes,Yes,7,Manager,very dissatisfied,pm,Serbia,Data Scientist
122,Charles Ross,Yes,M,30,Yes,PhD,No,Yes,2,Senior Manager,very dissatisfied,solutions design,Armenia,UI/UX
31,Richard Ayala,Yes,M,57,No,Prefer not to say,Yes,Yes,3,Associate,very dissatisfied,.net,Philippines,UI/UX
62,Sarah Horton,Yes,M,44,No,Undergraduate,No,Yes,6,Senior Manager,very dissatisfied,pm,Togo,Software Development
147,Kathleen Mcclain PhD,Yes,F,39,No,Undergraduate,No,No,1,Senior Manager,neutral,azure,New Caledonia,Software Development
91,Gina Oliver,Yes,M,53,Yes,PhD,No,No,5,Junior,satisfied,solutions design,Philippines,full stack developer
3,Melissa Pennington,Yes,Non-binary,36,No,Undergraduate,No,Yes,7,Senior Associate,neutral,azure,Georgia,UI/UX
121,Travis Silva,Yes,Non-binary,48,No,Undergraduate,Yes,Yes,8,Associate,very dissatisfied,python,Sierra Leone,Data Scientist
83,Christine Smith,Yes,F,50,Yes,PhD,No,Yes,9,Junior,neutral,pm,Denmark,Software Development
99,Mrs. Diane Gallegos,Yes,M,47,No,PhD,Yes,No,4,Senior Manager,very dissatisfied,.net,Poland,UI/UX
19,Shawn Marsh,Yes,M,26,Yes,Undergraduate,No,No,6,Manager,satisfied,python,Falkland Islands (Malvinas),UI/UX
7,Yolanda Barrett,Yes,F,25,Yes,Undergraduate,Yes,No,8,Associate,neutral,javascript,Montenegro,Software Development
115,Alexander Silva,Yes,Non-binary,28,No,Prefer not to say,No,Yes,3,Senior Associate,satisfied,.net,Myanmar,Software Development
56,Andrew Macias,Yes,Non-binary,38,No,Prefer not to say,No,Yes,4,Senior Manager,satisfied,pm,Trinidad and Tobago,full stack developer
7,Diane Harrington,Yes,M,33,Yes,Masters degree,Yes,No,8,Junior,very dissatisfied,.net,Svalbard & Jan Mayen Islands,full stack developer
77,Christopher Baker,Yes,F,40,No,Undergraduate,No,No,3,Junior,very dissatisfied,solutions design,Hong Kong,full stack developer
16,Kayla Payne,Yes,M,50,Yes,Prefer not to say,No,No,0,Junior,neutral,sql,Comoros,Data Scientist
73,Timothy Brown,Yes,Non-binary,35,Yes,Masters degree,No,Yes,1,Senior Associate,very dissatisfied,solutions design,Liechtenstein,Software Development
43,Taylor Walton,Yes,M,50,No,Prefer not to say,Yes,Yes,7,Senior Manager,dissatisfied,sql,El Salvador,UI/UX
57,Patricia Perez,Yes,Non-binary,56,No,Masters degree,No,Yes,8,Junior,very dissatisfied,python,Angola,Software Development
28,Anthony Jennings,Yes,F,56,No,PhD,Yes,Yes,1,Junior,very dissatisfied,javascript,Azerbaijan,Software Development
15,Laura Rodriguez,Yes,M,29,No,Undergraduate,No,No,4,Manager,very dissatisfied,pm,Thailand,Data Scientist
59,William Huff,Yes,Non-binary,41,No,Prefer not to say,Yes,Yes,1,Junior,very dissatisfied,.net,United States of America,Pitch
113,Megan Jones,Yes,M,36,Yes,PhD,Yes,No,8,Senior Associate,neutral,sql,Madagascar,Data Scientist
50,Peter Hammond,Yes,F,51,No,PhD,Yes,No,0,Associate,neutral,javascript,Guam,UI/UX
93,Chloe Anderson,Yes,Non-binary,42,Yes,Prefer not to say,No,Yes,8,Senior Manager,very dissatisfied,.net,Estonia,Software Development
116,Peter Espinoza,Yes,Non-binary,57,No,Prefer not to say,Yes,Yes,2,Senior Associate,very dissatisfied,pm,United States of America,Pitch
108,Justin Flores,Yes,M,33,Yes,Masters degree,No,No,9,Senior Manager,very dissatisfied,pm,Gambia,full stack developer
85,Kathryn Murray,Yes,F,51,Yes,Masters degree,No,Yes,1,Senior Associate,satisfied,pm,Kiribati,Data Scientist
126,Melinda Braun,Yes,M,40,No,PhD,Yes,Yes,4,Senior Manager,satisfied,.net,Saint Barthelemy,UI/UX
104,Anna Rogers,Yes,Non-binary,39,Yes,Undergraduate,No,Yes,3,Associate,satisfied,sql,Falkland Islands (Malvinas),Data Scientist
56,Eric Ramirez,Yes,F,53,No,Prefer not to say,Yes,Yes,8,Senior Manager,neutral,sql,Cuba,Data Scientist
70,Mikayla Perkins,Yes,F,29,Yes,Masters degree,No,Yes,3,Associate,satisfied,pm,Tajikistan,full stack developer
63,Justin Mccann,Yes,M,30,No,Prefer not to say,No,Yes,1,Junior,dissatisfied,pm,Saint Kitts and Nevis,Software Development
11,Christopher Fritz,Yes,M,56,Yes,PhD,Yes,Yes,6,Manager,satisfied,python,Syrian Arab Republic,Software Development
17,Norman Taylor,Yes,Non-binary,36,No,Prefer not to say,No,No,8,Senior Manager,satisfied,azure,Palestinian Territory,full stack developer
17,Gregory Conrad,Yes,F,56,No,Masters degree,Yes,Yes,5,Associate,dissatisfied,sql,Guinea,Data Scientist
3,Jamie Jackson,Yes,F,31,No,PhD,No,Yes,3,Associate,satisfied,python,Swaziland,Data Scientist
143,Susan White,Yes,Non-binary,44,Yes,PhD,No,Yes,3,Manager,very dissatisfied,solutions design,Norfolk Island,full stack developer
62,Steven Dillon,Yes,Non-binary,39,Yes,PhD,No,No,7,Associate,satisfied,azure,Northern Mariana Islands,Data Scientist
103,Susan Mckinney,Yes,Non-binary,31,Yes,Masters degree,Yes,Yes,4,Senior Associate,neutral,azure,Kenya,full stack developer
54,Christopher Keller,Yes,M,30,Yes,Masters degree,No,Yes,8,Associate,satisfied,pm,Mauritania,Data Scientist
65,Robin Prince,Yes,F,57,Yes,PhD,No,No,9,Senior Manager,satisfied,javascript,Anguilla,Software Development
94,Daniel Harmon,Yes,M,58,No,Prefer not to say,Yes,Yes,1,Manager,neutral,javascript,Saint Vincent and the Grenadines,UI/UX
117,Peter Morrow,Yes,F,47,No,Undergraduate,Yes,Yes,2,Manager,dissatisfied,solutions design,Sudan,full stack developer
